Time,EV Electric Power (kW),EV SOC (-),EV Unmet Load (kWh)
2018-01-01 00:00:00,0.0,1.0,0
2018-01-01 00:15:00,0.0,1.0,0
2018-01-01 00:30:00,0.0,1.0,0
2018-01-01 00:45:00,0.0,1.0,0
2018-01-01 01:00:00,0.0,1.0,0
2018-01-01 01:15:00,0.0,1.0,0
2018-01-01 01:30:00,0.0,1.0,0
2018-01-01 01:45:00,0.0,1.0,0
2018-01-01 02:00:00,0.0,1.0,0
2018-01-01 02:15:00,0.0,1.0,0
2018-01-01 02:30:00,0.0,1.0,0
2018-01-01 02:45:00,0.0,1.0,0
2018-01-01 03:00:00,0.0,1.0,0
2018-01-01 03:15:00,0.0,1.0,0
2018-01-01 03:30:00,0.0,1.0,0
2018-01-01 03:45:00,0.0,1.0,0
2018-01-01 04:00:00,0.0,1.0,0
2018-01-01 04:15:00,0.0,1.0,0
2018-01-01 04:30:00,0.0,1.0,0
2018-01-01 04:45:00,0.0,1.0,0
2018-01-01 05:00:00,0.0,1.0,0
2018-01-01 05:15:00,0.0,1.0,0
2018-01-01 05:30:00,0.0,1.0,0
2018-01-01 05:45:00,0.0,1.0,0
2018-01-01 06:00:00,0.0,1.0,0
2018-01-01 06:15:00,0.0,1.0,0
2018-01-01 06:30:00,0.0,1.0,0
2018-01-01 06:45:00,0.0,1.0,0
2018-01-01 07:00:00,0.0,1.0,0
2018-01-01 07:15:00,0.0,1.0,0
2018-01-01 07:30:00,0.0,1.0,0
2018-01-01 07:45:00,0.0,1.0,0
2018-01-01 08:00:00,0.0,1.0,0
2018-01-01 08:15:00,0.0,1.0,0
2018-01-01 08:30:00,0.0,1.0,0
2018-01-01 08:45:00,0.0,1.0,0
2018-01-01 09:00:00,0.0,1.0,0
2018-01-01 09:15:00,0.0,1.0,0
2018-01-01 09:30:00,0.0,1.0,0
2018-01-01 09:45:00,0.0,1.0,0
2018-01-01 10:00:00,0.0,1.0,0
2018-01-01 10:15:00,0.0,1.0,0
2018-01-01 10:30:00,0.0,1.0,0
2018-01-01 10:45:00,0.0,1.0,0
2018-01-01 11:00:00,0.0,1.0,0
2018-01-01 11:15:00,0.0,1.0,0
2018-01-01 11:30:00,0.0,1.0,0
2018-01-01 11:45:00,0.0,1.0,0
2018-01-01 12:00:00,0.0,1.0,0
2018-01-01 12:15:00,0.0,1.0,0
2018-01-01 12:30:00,0.0,1.0,0
2018-01-01 12:45:00,0.0,1.0,0
2018-01-01 13:00:00,0.0,1.0,0
2018-01-01 13:15:00,0.0,1.0,0
2018-01-01 13:30:00,0.0,1.0,0
2018-01-01 13:45:00,0.0,1.0,0
2018-01-01 14:00:00,0.0,1.0,0
2018-01-01 14:15:00,0.0,1.0,0
2018-01-01 14:30:00,0.0,1.0,0
2018-01-01 14:45:00,1.4,0.938,0
2018-01-01 15:00:00,1.4,0.9428461538461538,0
2018-01-01 15:15:00,1.4,0.9476923076923076,0
2018-01-01 15:30:00,1.4,0.9525384615384614,0
2018-01-01 15:45:00,1.4,0.9573846153846153,0
2018-01-01 16:00:00,1.4,0.9622307692307691,0
2018-01-01 16:15:00,1.4,0.967076923076923,0
2018-01-01 16:30:00,1.4,0.9719230769230768,0
2018-01-01 16:45:00,1.4,0.9767692307692306,0
2018-01-01 17:00:00,1.4,0.9816153846153844,0
2018-01-01 17:15:00,1.4,0.9864615384615383,0
2018-01-01 17:30:00,1.4,0.9913076923076921,0
2018-01-01 17:45:00,1.1111111111111713,0.996153846153846,0
2018-01-01 18:00:00,0.0,1.0,0
2018-01-01 18:15:00,0.0,1.0,0
2018-01-01 18:30:00,0.0,1.0,0
2018-01-01 18:45:00,0.0,1.0,0
2018-01-01 19:00:00,0.0,1.0,0
2018-01-01 19:15:00,0.0,1.0,0
2018-01-01 19:30:00,0.0,1.0,0
2018-01-01 19:45:00,0.0,1.0,0
2018-01-01 20:00:00,0.0,1.0,0
2018-01-01 20:15:00,0.0,1.0,0
2018-01-01 20:30:00,0.0,1.0,0
2018-01-01 20:45:00,0.0,1.0,0
2018-01-01 21:00:00,0.0,1.0,0
2018-01-01 21:15:00,0.0,1.0,0
2018-01-01 21:30:00,0.0,1.0,0
2018-01-01 21:45:00,0.0,1.0,0
2018-01-01 22:00:00,0.0,1.0,0
2018-01-01 22:15:00,0.0,1.0,0
2018-01-01 22:30:00,0.0,1.0,0
2018-01-01 22:45:00,0.0,1.0,0
2018-01-01 23:00:00,0.0,1.0,0
2018-01-01 23:15:00,0.0,1.0,0
2018-01-01 23:30:00,0.0,1.0,0
2018-01-01 23:45:00,0.0,1.0,0
2018-01-02 00:00:00,0.0,1.0,0
2018-01-02 00:15:00,0.0,1.0,0
2018-01-02 00:30:00,0.0,1.0,0
2018-01-02 00:45:00,0.0,1.0,0
2018-01-02 01:00:00,0.0,1.0,0
2018-01-02 01:15:00,0.0,1.0,0
2018-01-02 01:30:00,0.0,1.0,0
2018-01-02 01:45:00,0.0,1.0,0
2018-01-02 02:00:00,0.0,1.0,0
2018-01-02 02:15:00,0.0,1.0,0
2018-01-02 02:30:00,0.0,1.0,0
2018-01-02 02:45:00,0.0,1.0,0
2018-01-02 03:00:00,0.0,1.0,0
2018-01-02 03:15:00,0.0,1.0,0
2018-01-02 03:30:00,0.0,1.0,0
2018-01-02 03:45:00,0.0,1.0,0
2018-01-02 04:00:00,0.0,1.0,0
2018-01-02 04:15:00,0.0,1.0,0
2018-01-02 04:30:00,0.0,1.0,0
2018-01-02 04:45:00,0.0,1.0,0
2018-01-02 05:00:00,0.0,1.0,0
2018-01-02 05:15:00,0.0,1.0,0
2018-01-02 05:30:00,0.0,1.0,0
2018-01-02 05:45:00,0.0,1.0,0
2018-01-02 06:00:00,0.0,1.0,0
2018-01-02 06:15:00,0.0,1.0,0
2018-01-02 06:30:00,0.0,1.0,0
2018-01-02 06:45:00,0.0,1.0,0
2018-01-02 07:00:00,0.0,1.0,0
2018-01-02 07:15:00,0.0,1.0,0
2018-01-02 07:30:00,0.0,1.0,0
2018-01-02 07:45:00,0.0,1.0,0
2018-01-02 08:00:00,0.0,1.0,0
2018-01-02 08:15:00,0.0,1.0,0
2018-01-02 08:30:00,0.0,1.0,0
2018-01-02 08:45:00,0.0,1.0,0
2018-01-02 09:00:00,0.0,1.0,0
2018-01-02 09:15:00,0.0,1.0,0
2018-01-02 09:30:00,0.0,1.0,0
2018-01-02 09:45:00,0.0,1.0,0
2018-01-02 10:00:00,0.0,1.0,0
2018-01-02 10:15:00,0.0,1.0,0
2018-01-02 10:30:00,0.0,1.0,0
2018-01-02 10:45:00,0.0,1.0,0
2018-01-02 11:00:00,0.0,1.0,0
2018-01-02 11:15:00,0.0,1.0,0
2018-01-02 11:30:00,0.0,1.0,0
2018-01-02 11:45:00,0.0,1.0,0
2018-01-02 12:00:00,0.0,1.0,0
2018-01-02 12:15:00,0.0,1.0,0
2018-01-02 12:30:00,0.0,1.0,0
2018-01-02 12:45:00,0.0,1.0,0
2018-01-02 13:00:00,0.0,1.0,0
2018-01-02 13:15:00,0.0,1.0,0
2018-01-02 13:30:00,0.0,1.0,0
2018-01-02 13:45:00,0.0,1.0,0
2018-01-02 14:00:00,0.0,1.0,0
2018-01-02 14:15:00,0.0,1.0,0
2018-01-02 14:30:00,0.0,1.0,0
2018-01-02 14:45:00,0.0,1.0,0
2018-01-02 15:00:00,0.0,1.0,0
2018-01-02 15:15:00,0.0,1.0,0
2018-01-02 15:30:00,0.0,1.0,0
2018-01-02 15:45:00,0.0,1.0,0
2018-01-02 16:00:00,0.0,1.0,0
2018-01-02 16:15:00,0.0,1.0,0
2018-01-02 16:30:00,0.0,1.0,0
2018-01-02 16:45:00,0.0,1.0,0
2018-01-02 17:00:00,0.0,1.0,0
2018-01-02 17:15:00,0.0,1.0,0
2018-01-02 17:30:00,0.0,1.0,0
2018-01-02 17:45:00,0.0,1.0,0
2018-01-02 18:00:00,1.4,0.883,0
2018-01-02 18:15:00,1.4,0.8878461538461538,0
2018-01-02 18:30:00,1.4,0.8926923076923077,0
2018-01-02 18:45:00,1.4,0.8975384615384615,0
2018-01-02 19:00:00,1.4,0.9023846153846153,0
2018-01-02 19:15:00,1.4,0.9072307692307692,0
2018-01-02 19:30:00,1.4,0.912076923076923,0
2018-01-02 19:45:00,1.4,0.9169230769230768,0
2018-01-02 20:00:00,1.4,0.9217692307692307,0
2018-01-02 20:15:00,1.4,0.9266153846153845,0
2018-01-02 20:30:00,1.4,0.9314615384615383,0
2018-01-02 20:45:00,1.4,0.9363076923076922,0
2018-01-02 21:00:00,1.4,0.941153846153846,0
2018-01-02 21:15:00,1.4,0.9459999999999998,0
2018-01-02 21:30:00,1.4,0.9508461538461537,0
2018-01-02 21:45:00,1.4,0.9556923076923075,0
2018-01-02 22:00:00,1.4,0.9605384615384613,0
2018-01-02 22:15:00,1.4,0.9653846153846152,0
2018-01-02 22:30:00,1.4,0.970230769230769,0
2018-01-02 22:45:00,1.4,0.9750769230769228,0
2018-01-02 23:00:00,1.4,0.9799230769230767,0
2018-01-02 23:15:00,1.4,0.9847692307692305,0
2018-01-02 23:30:00,1.4,0.9896153846153843,0
2018-01-02 23:45:00,1.4,0.9944615384615382,0
2018-01-03 00:00:00,0.20000000000008653,0.999307692307692,0
2018-01-03 00:15:00,0.0,1.0,0
2018-01-03 00:30:00,0.0,1.0,0
2018-01-03 00:45:00,0.0,1.0,0
2018-01-03 01:00:00,0.0,1.0,0
2018-01-03 01:15:00,0.0,1.0,0
2018-01-03 01:30:00,0.0,1.0,0
2018-01-03 01:45:00,0.0,1.0,0
2018-01-03 02:00:00,0.0,1.0,0
2018-01-03 02:15:00,0.0,1.0,0
2018-01-03 02:30:00,0.0,1.0,0
2018-01-03 02:45:00,0.0,1.0,0
2018-01-03 03:00:00,0.0,1.0,0
2018-01-03 03:15:00,0.0,1.0,0
2018-01-03 03:30:00,0.0,1.0,0
2018-01-03 03:45:00,0.0,1.0,0
2018-01-03 04:00:00,0.0,1.0,0
2018-01-03 04:15:00,0.0,1.0,0
2018-01-03 04:30:00,0.0,1.0,0
2018-01-03 04:45:00,0.0,1.0,0
2018-01-03 05:00:00,0.0,1.0,0
2018-01-03 05:15:00,0.0,1.0,0
2018-01-03 05:30:00,0.0,1.0,0
2018-01-03 05:45:00,0.0,1.0,0
2018-01-03 06:00:00,0.0,1.0,0
2018-01-03 06:15:00,0.0,1.0,0
2018-01-03 06:30:00,0.0,1.0,0
2018-01-03 06:45:00,0.0,1.0,0
2018-01-03 07:00:00,0.0,1.0,0
2018-01-03 07:15:00,0.0,1.0,0
2018-01-03 07:30:00,0.0,1.0,0
2018-01-03 07:45:00,0.0,1.0,0
2018-01-03 08:00:00,0.0,1.0,0
2018-01-03 08:15:00,0.0,1.0,0
2018-01-03 08:30:00,0.0,1.0,0
2018-01-03 08:45:00,0.0,1.0,0
2018-01-03 09:00:00,0.0,1.0,0
2018-01-03 09:15:00,0.0,1.0,0
2018-01-03 09:30:00,0.0,1.0,0
2018-01-03 09:45:00,0.0,1.0,0
2018-01-03 10:00:00,0.0,1.0,0
2018-01-03 10:15:00,0.0,1.0,0
2018-01-03 10:30:00,0.0,1.0,0
2018-01-03 10:45:00,0.0,1.0,0
2018-01-03 11:00:00,0.0,1.0,0
2018-01-03 11:15:00,0.0,1.0,0
2018-01-03 11:30:00,0.0,1.0,0
2018-01-03 11:45:00,0.0,1.0,0
2018-01-03 12:00:00,0.0,1.0,0
2018-01-03 12:15:00,0.0,1.0,0
2018-01-03 12:30:00,0.0,1.0,0
2018-01-03 12:45:00,0.0,1.0,0
2018-01-03 13:00:00,0.0,1.0,0
2018-01-03 13:15:00,0.0,1.0,0
2018-01-03 13:30:00,0.0,1.0,0
2018-01-03 13:45:00,0.0,1.0,0
2018-01-03 14:00:00,0.0,1.0,0
2018-01-03 14:15:00,0.0,1.0,0
2018-01-03 14:30:00,0.0,1.0,0
2018-01-03 14:45:00,0.0,1.0,0
2018-01-03 15:00:00,0.0,1.0,0
2018-01-03 15:15:00,0.0,1.0,0
2018-01-03 15:30:00,0.0,1.0,0
2018-01-03 15:45:00,0.0,1.0,0
2018-01-03 16:00:00,0.0,1.0,0
2018-01-03 16:15:00,0.0,1.0,0
2018-01-03 16:30:00,0.0,1.0,0
2018-01-03 16:45:00,0.0,1.0,0
2018-01-03 17:00:00,0.0,1.0,0
2018-01-03 17:15:00,0.0,1.0,0
2018-01-03 17:30:00,0.0,1.0,0
2018-01-03 17:45:00,0.0,1.0,0
2018-01-03 18:00:00,0.0,1.0,0
2018-01-03 18:15:00,0.0,1.0,0
2018-01-03 18:30:00,0.0,1.0,0
2018-01-03 18:45:00,0.0,1.0,0
2018-01-03 19:00:00,0.0,1.0,0
2018-01-03 19:15:00,0.0,1.0,0
2018-01-03 19:30:00,0.0,1.0,0
2018-01-03 19:45:00,0.0,1.0,0
2018-01-03 20:00:00,0.0,1.0,0
2018-01-03 20:15:00,0.0,1.0,0
2018-01-03 20:30:00,0.0,1.0,0
2018-01-03 20:45:00,0.0,1.0,0
2018-01-03 21:00:00,0.0,1.0,0
2018-01-03 21:15:00,0.0,1.0,0
2018-01-03 21:30:00,0.0,1.0,0
2018-01-03 21:45:00,0.0,1.0,0
2018-01-03 22:00:00,0.0,1.0,0
2018-01-03 22:15:00,0.0,1.0,0
2018-01-03 22:30:00,0.0,1.0,0
2018-01-03 22:45:00,0.0,1.0,0
2018-01-03 23:00:00,0.0,1.0,0
2018-01-03 23:15:00,0.0,1.0,0
2018-01-03 23:30:00,0.0,1.0,0
2018-01-03 23:45:00,0.0,1.0,0
2018-01-04 00:00:00,0.0,1.0,0
2018-01-04 00:15:00,0.0,1.0,0
2018-01-04 00:30:00,0.0,1.0,0
2018-01-04 00:45:00,0.0,1.0,0
2018-01-04 01:00:00,0.0,1.0,0
2018-01-04 01:15:00,0.0,1.0,0
2018-01-04 01:30:00,0.0,1.0,0
2018-01-04 01:45:00,0.0,1.0,0
2018-01-04 02:00:00,0.0,1.0,0
2018-01-04 02:15:00,0.0,1.0,0
2018-01-04 02:30:00,0.0,1.0,0
2018-01-04 02:45:00,0.0,1.0,0
2018-01-04 03:00:00,0.0,1.0,0
2018-01-04 03:15:00,0.0,1.0,0
2018-01-04 03:30:00,0.0,1.0,0
2018-01-04 03:45:00,0.0,1.0,0
2018-01-04 04:00:00,0.0,1.0,0
2018-01-04 04:15:00,0.0,1.0,0
2018-01-04 04:30:00,0.0,1.0,0
2018-01-04 04:45:00,0.0,1.0,0
2018-01-04 05:00:00,0.0,1.0,0
2018-01-04 05:15:00,0.0,1.0,0
2018-01-04 05:30:00,0.0,1.0,0
2018-01-04 05:45:00,0.0,1.0,0
2018-01-04 06:00:00,0.0,1.0,0
2018-01-04 06:15:00,0.0,1.0,0
2018-01-04 06:30:00,0.0,1.0,0
2018-01-04 06:45:00,0.0,1.0,0
2018-01-04 07:00:00,0.0,1.0,0
2018-01-04 07:15:00,0.0,1.0,0
2018-01-04 07:30:00,0.0,1.0,0
2018-01-04 07:45:00,0.0,1.0,0
2018-01-04 08:00:00,0.0,1.0,0
2018-01-04 08:15:00,0.0,1.0,0
2018-01-04 08:30:00,0.0,1.0,0
2018-01-04 08:45:00,0.0,1.0,0
2018-01-04 09:00:00,0.0,1.0,0
2018-01-04 09:15:00,0.0,1.0,0
2018-01-04 09:30:00,0.0,1.0,0
2018-01-04 09:45:00,0.0,1.0,0
2018-01-04 10:00:00,0.0,1.0,0
2018-01-04 10:15:00,0.0,1.0,0
2018-01-04 10:30:00,0.0,1.0,0
2018-01-04 10:45:00,0.0,1.0,0
2018-01-04 11:00:00,0.0,1.0,0
2018-01-04 11:15:00,0.0,1.0,0
2018-01-04 11:30:00,0.0,1.0,0
2018-01-04 11:45:00,0.0,1.0,0
2018-01-04 12:00:00,0.0,1.0,0
2018-01-04 12:15:00,0.0,1.0,0
2018-01-04 12:30:00,0.0,1.0,0
2018-01-04 12:45:00,0.0,1.0,0
2018-01-04 13:00:00,0.0,1.0,0
2018-01-04 13:15:00,0.0,1.0,0
2018-01-04 13:30:00,0.0,1.0,0
2018-01-04 13:45:00,0.0,1.0,0
2018-01-04 14:00:00,0.0,1.0,0
2018-01-04 14:15:00,0.0,1.0,0
2018-01-04 14:30:00,0.0,1.0,0
2018-01-04 14:45:00,0.0,1.0,0
2018-01-04 15:00:00,0.0,1.0,0
2018-01-04 15:15:00,0.0,1.0,0
2018-01-04 15:30:00,0.0,1.0,0
2018-01-04 15:45:00,0.0,1.0,0
2018-01-04 16:00:00,0.0,1.0,0
2018-01-04 16:15:00,0.0,1.0,0
2018-01-04 16:30:00,0.0,1.0,0
2018-01-04 16:45:00,0.0,1.0,0
2018-01-04 17:00:00,0.0,1.0,0
2018-01-04 17:15:00,0.0,1.0,0
2018-01-04 17:30:00,0.0,1.0,0
2018-01-04 17:45:00,0.0,1.0,0
2018-01-04 18:00:00,0.0,1.0,0
2018-01-04 18:15:00,1.4,0.937,0
2018-01-04 18:30:00,1.4,0.9418461538461539,0
2018-01-04 18:45:00,1.4,0.9466923076923077,0
2018-01-04 19:00:00,1.4,0.9515384615384616,0
2018-01-04 19:15:00,1.4,0.9563846153846154,0
2018-01-04 19:30:00,1.4,0.9612307692307692,0
2018-01-04 19:45:00,1.4,0.966076923076923,0
2018-01-04 20:00:00,1.4,0.9709230769230769,0
2018-01-04 20:15:00,1.4,0.9757692307692307,0
2018-01-04 20:30:00,1.4,0.9806153846153846,0
2018-01-04 20:45:00,1.4,0.9854615384615384,0
2018-01-04 21:00:00,1.4,0.9903076923076922,0
2018-01-04 21:15:00,1.4,0.9951538461538461,0
2018-01-04 21:30:00,3.2073109600282297e-14,0.9999999999999999,0
2018-01-04 21:45:00,0.0,1.0,0
2018-01-04 22:00:00,0.0,1.0,0
2018-01-04 22:15:00,0.0,1.0,0
2018-01-04 22:30:00,0.0,1.0,0
2018-01-04 22:45:00,0.0,1.0,0
2018-01-04 23:00:00,0.0,1.0,0
2018-01-04 23:15:00,0.0,1.0,0
2018-01-04 23:30:00,0.0,1.0,0
2018-01-04 23:45:00,0.0,1.0,0
2018-01-05 00:00:00,0.0,1.0,0
2018-01-05 00:15:00,0.0,1.0,0
2018-01-05 00:30:00,0.0,1.0,0
2018-01-05 00:45:00,0.0,1.0,0
2018-01-05 01:00:00,0.0,1.0,0
2018-01-05 01:15:00,0.0,1.0,0
2018-01-05 01:30:00,0.0,1.0,0
2018-01-05 01:45:00,0.0,1.0,0
2018-01-05 02:00:00,0.0,1.0,0
2018-01-05 02:15:00,0.0,1.0,0
2018-01-05 02:30:00,0.0,1.0,0
2018-01-05 02:45:00,0.0,1.0,0
2018-01-05 03:00:00,0.0,1.0,0
2018-01-05 03:15:00,0.0,1.0,0
2018-01-05 03:30:00,0.0,1.0,0
2018-01-05 03:45:00,0.0,1.0,0
2018-01-05 04:00:00,0.0,1.0,0
2018-01-05 04:15:00,0.0,1.0,0
2018-01-05 04:30:00,0.0,1.0,0
2018-01-05 04:45:00,0.0,1.0,0
2018-01-05 05:00:00,0.0,1.0,0
2018-01-05 05:15:00,0.0,1.0,0
2018-01-05 05:30:00,0.0,1.0,0
2018-01-05 05:45:00,0.0,1.0,0
2018-01-05 06:00:00,0.0,1.0,0
2018-01-05 06:15:00,0.0,1.0,0
2018-01-05 06:30:00,0.0,1.0,0
2018-01-05 06:45:00,0.0,1.0,0
2018-01-05 07:00:00,0.0,1.0,0
2018-01-05 07:15:00,0.0,1.0,0
2018-01-05 07:30:00,0.0,1.0,0
2018-01-05 07:45:00,0.0,1.0,0
2018-01-05 08:00:00,0.0,1.0,0
2018-01-05 08:15:00,0.0,1.0,0
2018-01-05 08:30:00,0.0,1.0,0
2018-01-05 08:45:00,0.0,1.0,0
2018-01-05 09:00:00,0.0,1.0,0
2018-01-05 09:15:00,0.0,1.0,0
2018-01-05 09:30:00,0.0,1.0,0
2018-01-05 09:45:00,0.0,1.0,0
2018-01-05 10:00:00,0.0,1.0,0
2018-01-05 10:15:00,0.0,1.0,0
2018-01-05 10:30:00,0.0,1.0,0
2018-01-05 10:45:00,0.0,1.0,0
2018-01-05 11:00:00,0.0,1.0,0
2018-01-05 11:15:00,0.0,1.0,0
2018-01-05 11:30:00,0.0,1.0,0
2018-01-05 11:45:00,0.0,1.0,0
2018-01-05 12:00:00,0.0,1.0,0
2018-01-05 12:15:00,0.0,1.0,0
2018-01-05 12:30:00,0.0,1.0,0
2018-01-05 12:45:00,0.0,1.0,0
2018-01-05 13:00:00,0.0,1.0,0
2018-01-05 13:15:00,0.0,1.0,0
2018-01-05 13:30:00,0.0,1.0,0
2018-01-05 13:45:00,0.0,1.0,0
2018-01-05 14:00:00,0.0,1.0,0
2018-01-05 14:15:00,0.0,1.0,0
2018-01-05 14:30:00,0.0,1.0,0
2018-01-05 14:45:00,0.0,1.0,0
2018-01-05 15:00:00,0.0,1.0,0
2018-01-05 15:15:00,0.0,1.0,0
2018-01-05 15:30:00,0.0,1.0,0
2018-01-05 15:45:00,1.4,0.9590000000000001,0
2018-01-05 16:00:00,1.4,0.9638461538461539,0
2018-01-05 16:15:00,1.4,0.9686923076923077,0
2018-01-05 16:30:00,1.4,0.9735384615384616,0
2018-01-05 16:45:00,1.4,0.9783846153846154,0
2018-01-05 17:00:00,1.4,0.9832307692307692,0
2018-01-05 17:15:00,1.4,0.9880769230769231,0
2018-01-05 17:30:00,1.4,0.9929230769230769,0
2018-01-05 17:45:00,0.6444444444444524,0.9977692307692307,0
2018-01-05 18:00:00,0.0,1.0,0
2018-01-05 18:15:00,0.0,1.0,0
2018-01-05 18:30:00,0.0,1.0,0
2018-01-05 18:45:00,0.0,1.0,0
2018-01-05 19:00:00,0.0,1.0,0
2018-01-05 19:15:00,0.0,1.0,0
2018-01-05 19:30:00,0.0,1.0,0
2018-01-05 19:45:00,0.0,1.0,0
2018-01-05 20:00:00,0.0,1.0,0
2018-01-05 20:15:00,0.0,1.0,0
2018-01-05 20:30:00,0.0,1.0,0
2018-01-05 20:45:00,0.0,1.0,0
2018-01-05 21:00:00,0.0,1.0,0
2018-01-05 21:15:00,0.0,1.0,0
2018-01-05 21:30:00,0.0,1.0,0
2018-01-05 21:45:00,0.0,1.0,0
2018-01-05 22:00:00,0.0,1.0,0
2018-01-05 22:15:00,0.0,1.0,0
2018-01-05 22:30:00,0.0,1.0,0
2018-01-05 22:45:00,0.0,1.0,0
