Time of Day,2018-01-01,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-06,2018-01-07,2018-01-08,2018-01-09,2018-01-10
00:00:00,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
00:15:00,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
00:30:00,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
00:45:00,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
01:00:00,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
01:15:00,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
01:30:00,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
01:45:00,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
02:00:00,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
02:15:00,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
02:30:00,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
02:45:00,0.0,0.0,0.533333333333425,1.4,1.4,1.4,1.4,1.4,1.4,1.4
03:00:00,0.0,0.0,0.0,1.4,1.177777777778134,1.4,1.4,1.4,1.4,1.4
03:15:00,0.0,0.0,0.0,1.4,0.0,1.4,1.4,1.4,1.4,1.4
03:30:00,0.0,0.0,0.0,1.4,0.0,1.4,1.4,1.4,1.4,1.4
03:45:00,0.0,0.0,0.0,1.4,0.0,1.4,1.4,1.4,1.4,1.4
04:00:00,0.0,0.0,0.0,1.4,0.0,1.4,1.4,1.4,1.4,1.4
04:15:00,0.0,0.0,0.0,1.4,0.0,1.4,1.4,0.6444444444445807,1.4,1.4
04:30:00,0.0,0.0,0.0,1.4,0.0,1.4,1.4,0.0,1.4,1.4
04:45:00,0.0,0.0,0.0,1.4,0.0,1.4,0.08888888888931579,0.0,1.4,1.4
05:00:00,0.0,0.0,0.0,1.4,0.0,1.4,0.0,0.0,1.4,1.4
05:15:00,0.0,0.0,0.0,1.4,0.0,1.4,0.0,0.0,1.4,1.4
05:30:00,0.0,0.0,0.0,1.4,0.0,1.4,0.0,0.0,1.4,1.4
05:45:00,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,1.4,1.4
06:00:00,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,1.4,1.4
06:15:00,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,1.4,1.4
06:30:00,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,1.4,1.4
06:45:00,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,1.4,1.4
07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
07:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
07:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
08:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888891167
08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12:00:00,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
12:15:00,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
12:30:00,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
12:45:00,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
13:00:00,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
13:15:00,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
13:30:00,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
13:45:00,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
14:00:00,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
14:15:00,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
14:30:00,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
14:45:00,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
15:00:00,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
15:15:00,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
15:30:00,1.4,0.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,0.0
15:45:00,1.4,0.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,0.0
16:00:00,1.4,0.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,0.0
16:15:00,1.4,0.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,1.4
16:30:00,1.4,0.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,1.4
16:45:00,1.4,0.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,1.4
17:00:00,1.4,0.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,1.4
17:15:00,1.4,0.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,1.4
17:30:00,1.4,0.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,1.4
17:45:00,1.4,0.0,0.0,1.4,1.4,1.4,0.0,0.0,0.0,1.4
18:00:00,1.4,0.0,0.0,1.4,1.4,1.4,0.0,0.0,0.0,1.4
18:15:00,1.4,0.0,0.0,1.4,1.4,1.4,0.0,0.0,0.0,1.4
18:30:00,1.4,0.0,1.4,1.4,1.4,1.4,0.0,0.0,0.0,1.4
18:45:00,1.4,0.0,1.4,1.4,1.4,1.4,0.0,0.0,0.0,1.4
19:00:00,1.4,0.0,1.4,1.4,1.4,1.4,0.0,0.0,0.0,1.4
19:15:00,1.4,0.0,1.4,1.4,1.4,1.4,0.0,0.0,0.0,1.4
19:30:00,0.7777777777778969,0.0,1.4,1.4,1.4,1.4,0.0,0.0,0.0,1.4
19:45:00,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4
20:00:00,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4
20:15:00,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4
20:30:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.0,1.4
20:45:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
21:00:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
21:15:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
21:30:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
21:45:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
22:00:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
22:15:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
22:30:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
22:45:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
23:00:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
23:15:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
23:30:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
23:45:00,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
